Team1,Team2,FG % differential,3 pt % differential,FT % differential,Rebound differential, Offensive Rebound differential, Assists differential, Personal foul differentials, Steals differential,Turnovers differential, Blocks differential, Points differential
NC State,The Citadel,0.0499,0.1218,0.0298,-2.0,-1.0,11.0,10.0,4.0,-5.0,5.0,13.0
Virginia,Tarleton St.,0.156,0.2238,-0.0989,13.0,3.0,7.0,-9.0,3.0,-8.0,2.0,30.0
Clemson,Winthrop,0.0893,0.1285,0.0833,9.0,4.0,15.0,4.0,2.0,-4.0,6.0,22.0
Pittsburgh,N.C. A&T,0.292,0.1785,-0.1961,30.0,6.0,12.0,-5.0,0.0,1.0,3.0,48.0
Notre Dame,Niagara,0.0857,-0.2353,0.1458,6.0,-1.0,-2.0,-2.0,0.0,0.0,-1.0,7.0
North Carolina,Radford,0.1003,0.1119,-0.2478,3.0,1.0,13.0,-10.0,-4.0,-1.0,2.0,16.0
Miami (FL),NJIT,0.2034,0.1286,0.1925,12.0,0.0,11.0,-1.0,4.0,-7.0,5.0,41.0
Syracuse,New Hampshire,0.0503,-0.02,0.078,6.0,0.0,-2.0,-5.0,7.0,-5.0,1.0,11.0
Louisville,UMBC,-0.0072,-0.381,0.0699,12.0,8.0,-4.0,-6.0,-4.0,3.0,2.0,1.0
Georgia Tech,Ga. Southern,0.0465,0.1755,-0.1396,4.0,4.0,11.0,-7.0,5.0,-5.0,2.0,22.0
Wake Forest,Elon,0.0947,-0.1271,0.1548,15.0,6.0,0.0,-5.0,-1.0,0.0,5.0,23.0
Virginia Tech,Coppin St.,0.1436,0.1252,0.1264,21.0,10.0,24.0,-5.0,3.0,-8.0,0.0,45.0
Boston College,Fairfield,0.1102,0.037,0.1846,12.0,1.0,6.0,1.0,-2.0,1.0,5.0,19.0
Duke,Dartmouth,0.3048,0.1895,0.0441,4.0,-5.0,7.0,2.0,1.0,-4.0,5.0,38.0
Syracuse,Canisius,0.0541,-0.0861,0.3375,0.0,-3.0,6.0,-8.0,2.0,-2.0,6.0,12.0
Georgia Tech,Howard,-0.0584,-0.0635,-0.086,6.0,11.0,1.0,0.0,1.0,-7.0,-3.0,3.0
Florida St.,Kennesaw St.,0.1469,0.1733,-0.1308,2.0,-1.0,16.0,2.0,0.0,-2.0,6.0,27.0
Georgia,Wake Forest,0.0791,-0.081,-0.2222,-3.0,-3.0,-3.0,-3.0,4.0,-6.0,-2.0,3.0
NC State,Abilene Christian,0.1169,-0.0214,0.1296,3.0,-2.0,0.0,1.0,0.0,-3.0,0.0,20.0
The Citadel,Boston College,-0.0512,0.1333,0.0,3.0,2.0,-1.0,1.0,-8.0,7.0,1.0,-4.0
Pittsburgh,Binghamton,0.1173,0.0504,0.1481,18.0,7.0,2.0,-4.0,7.0,-3.0,5.0,29.0
Miami (FL),UCF,0.0988,0.2262,0.2303,-4.0,-11.0,7.0,-8.0,7.0,0.0,9.0,16.0
Duke,Arizona,-0.0308,-0.0051,0.0833,-12.0,-7.0,-3.0,0.0,1.0,-3.0,-2.0,-5.0
Louisville,Chattanooga,-0.0603,-0.0784,-0.0342,0.0,5.0,-3.0,2.0,2.0,-1.0,-2.0,-10.0
Florida,Virginia,-0.0483,-0.1089,0.15,17.0,12.0,1.0,5.0,-11.0,10.0,2.0,-3.0
UAB,Clemson,-0.0242,0.0933,0.0579,13.0,7.0,-2.0,7.0,1.0,4.0,-5.0,-1.0
South Carolina,Virginia Tech,0.0636,0.158,0.0568,7.0,2.0,3.0,4.0,-6.0,5.0,1.0,2.0
Notre Dame,Western Caro.,-0.0113,-0.0256,-0.1349,-5.0,-3.0,0.0,4.0,-5.0,5.0,-2.0,-10.0
North Carolina,Lehigh,0.0965,-0.0998,0.0714,21.0,7.0,-4.0,-14.0,2.0,-1.0,0.0,22.0
Clemson,Davidson,0.0633,0.0271,-0.2059,-4.0,-2.0,5.0,1.0,-2.0,1.0,4.0,3.0
Pittsburgh,FGCU,0.009,-0.006,-0.0846,13.0,8.0,3.0,-2.0,3.0,-2.0,3.0,12.0
Miami (FL),FIU,0.1342,0.2857,0.1607,-2.0,-9.0,3.0,-6.0,1.0,4.0,1.0,6.0
Florida St.,Central Mich.,0.0328,0.218,0.2516,4.0,0.0,12.0,6.0,7.0,-7.0,1.0,27.0
Syracuse,Colgate,-0.0803,-0.0937,0.1846,-12.0,-2.0,-2.0,-5.0,5.0,-12.0,3.0,4.0
Michigan St.,Duke,-0.0363,0.0431,-0.2167,-3.0,5.0,-5.0,7.0,-1.0,0.0,1.0,-9.0
Virginia,N.C. A&T,0.2231,0.2035,0.0,18.0,5.0,11.0,-2.0,3.0,-3.0,8.0,29.0
Georgia Tech,UMass Lowell,-0.0465,0.0667,-0.2769,2.0,5.0,-1.0,3.0,-2.0,1.0,0.0,-3.0
Virginia Tech,Campbell,0.1048,-0.0526,0.1125,-4.0,-5.0,4.0,-2.0,2.0,-9.0,0.0,16.0
Boston College,Richmond,-0.0271,0.1257,0.2281,13.0,7.0,3.0,-2.0,-3.0,6.0,-3.0,7.0
Louisville,Coppin St.,0.1122,0.1092,0.119,12.0,2.0,3.0,-3.0,1.0,0.0,1.0,20.0
Virginia,Texas Southern,0.1766,0.125,0.1688,0.0,-3.0,8.0,-2.0,5.0,-9.0,7.0,29.0
Wake Forest,Utah,-0.0333,-0.0154,0.0667,-11.0,-5.0,-11.0,4.0,-1.0,-2.0,-2.0,-7.0
Notre Dame,Auburn,-0.1958,-0.3731,0.0395,0.0,5.0,-13.0,-2.0,3.0,0.0,-3.0,-24.0
Miami (FL),Georgia,0.0833,0.0013,0.2656,3.0,-2.0,-1.0,-1.0,1.0,-3.0,-1.0,11.0
Oklahoma St.,Notre Dame,-0.059,-0.12,0.1141,1.0,2.0,-3.0,1.0,1.0,-4.0,1.0,-2.0
Duke,Bucknell,0.1219,0.072,0.0792,19.0,8.0,10.0,1.0,6.0,-6.0,-1.0,30.0
NC State,Charleston So.,0.1121,-0.0392,-0.0356,7.0,5.0,4.0,-2.0,9.0,-16.0,-2.0,34.0
Florida,Florida St.,0.1536,0.235,0.0305,15.0,3.0,8.0,-2.0,-9.0,10.0,-1.0,21.0
Pittsburgh,Jacksonville,0.1314,0.3619,-0.0971,22.0,16.0,20.0,-6.0,3.0,-8.0,3.0,51.0
Wake Forest,Towson,0.1255,0.2182,-0.1654,-19.0,-15.0,4.0,-4.0,4.0,-5.0,0.0,10.0
North Carolina,UC Riverside,0.1526,-0.0143,0.1587,-1.0,-4.0,-1.0,-7.0,2.0,-8.0,7.0,25.0
Boston College,Harvard,-0.0099,-0.1136,-0.1556,10.0,10.0,-1.0,-2.0,5.0,-6.0,-1.0,9.0
Clemson,Boise St.,0.1153,0.229,0.1648,15.0,6.0,6.0,0.0,-6.0,1.0,5.0,17.0
Miami (FL),Kansas St.,0.0408,0.3571,0.0686,-6.0,-9.0,0.0,1.0,3.0,-3.0,-3.0,8.0
Wake Forest,LSU,0.0582,-0.0411,0.1226,-4.0,-9.0,8.0,-3.0,-7.0,7.0,1.0,-6.0
Louisville,Texas,-0.0287,0.3199,0.1318,1.0,-4.0,0.0,0.0,-4.0,6.0,-2.0,-1.0
Virginia Tech,Wofford,0.1427,0.0806,0.1587,8.0,-1.0,7.0,0.0,3.0,-4.0,0.0,22.0
Syracuse,Tennessee,-0.05,-0.0571,-0.2702,-15.0,-7.0,-5.0,9.0,-1.0,-1.0,0.0,-17.0
Louisville,Indiana,-0.0957,0.1722,-0.0112,-4.0,1.0,-9.0,5.0,-2.0,0.0,-5.0,-8.0
UNLV,Florida St.,-0.0588,-0.2167,-0.1528,-3.0,3.0,-9.0,-7.0,1.0,-1.0,-2.0,-8.0
Virginia,Wisconsin,-0.0771,-0.1587,0.125,-27.0,-17.0,-5.0,3.0,1.0,-1.0,7.0,-24.0
Gonzaga,Syracuse,0.1094,0.225,-0.05,20.0,7.0,11.0,-2.0,-3.0,5.0,-3.0,19.0
Colorado,Florida St.,-0.1265,-0.0833,0.0801,8.0,14.0,2.0,-1.0,-8.0,2.0,-4.0,-6.0
Duke,La Salle,0.1235,0.1591,-0.0059,15.0,6.0,10.0,2.0,1.0,-4.0,2.0,29.0
North Carolina,UNI,-0.0266,0.1086,0.1891,3.0,5.0,2.0,-4.0,-2.0,-8.0,8.0,22.0
Boston College,Colorado St.,-0.085,-0.0536,0.2222,-6.0,-5.0,-8.0,-5.0,-4.0,2.0,1.0,-12.0
Virginia,West Virginia,0.0313,-0.1111,-0.0673,-13.0,-6.0,-2.0,2.0,5.0,-7.0,1.0,2.0
Cincinnati,Georgia Tech,0.1208,0.1059,-0.0811,2.0,1.0,9.0,-1.0,3.0,-13.0,-6.0,35.0
Notre Dame,UMES,0.1648,0.1065,0.0794,3.0,-5.0,10.0,-2.0,-4.0,1.0,0.0,20.0
Pittsburgh,Florida,-0.1168,-0.0392,-0.0476,9.0,8.0,-7.0,-2.0,-6.0,6.0,-1.0,-15.0
Chaminade,Syracuse,-0.2641,-0.1742,0.1607,-25.0,-5.0,-11.0,0.0,-3.0,3.0,-2.0,-49.0
Loyola Chicago,Boston College,-0.0068,0.2744,-0.1313,8.0,2.0,5.0,-2.0,-5.0,8.0,1.0,3.0
North Carolina,Villanova,0.0474,0.1477,-0.1932,5.0,2.0,8.0,8.0,-1.0,4.0,3.0,-2.0
Virginia Tech,Boise St.,-0.001,0.0079,0.0394,-7.0,-4.0,4.0,-1.0,3.0,-7.0,1.0,7.0
Vanderbilt,NC State,0.0179,-0.1029,-0.0619,3.0,-2.0,-6.0,-5.0,-3.0,7.0,0.0,-6.0
North Carolina,Arkansas,0.0185,0.1345,-0.0357,11.0,7.0,5.0,-3.0,-1.0,-2.0,-6.0,15.0
Wake Forest,Charleston So.,0.065,0.0844,0.1389,2.0,-2.0,0.0,-7.0,4.0,-6.0,3.0,15.0
Pittsburgh,Oregon St.,0.0731,0.1628,0.119,13.0,9.0,4.0,0.0,-2.0,-3.0,3.0,25.0
Virginia Tech,Iowa St.,-0.0118,0.1548,0.2926,5.0,-1.0,4.0,-1.0,-2.0,2.0,0.0,9.0
Duke,Southern Ind.,0.0695,-0.1508,-0.2262,5.0,5.0,-2.0,-10.0,0.0,-5.0,0.0,18.0
Clemson,Alcorn,-0.0143,0.0222,0.0397,14.0,11.0,18.0,-1.0,1.0,-2.0,-1.0,21.0
BYU,NC State,0.0979,0.0118,-0.0773,9.0,1.0,7.0,-1.0,-8.0,8.0,1.0,9.0
Louisville,New Mexico St.,-0.1369,-0.0778,0.2053,3.0,7.0,-5.0,-24.0,1.0,-3.0,0.0,6.0
Virginia Tech,Fla. Atlantic,-0.2356,-0.2914,-0.2028,-11.0,3.0,-8.0,-5.0,-4.0,-1.0,-5.0,-34.0
South Carolina,Notre Dame,0.0531,-0.0057,0.1192,-4.0,-3.0,3.0,-2.0,3.0,-4.0,0.0,12.0
Georgia Tech,Mississippi St.,0.0366,0.063,-0.0109,2.0,-2.0,3.0,1.0,-1.0,-1.0,3.0,8.0
Syracuse,LSU,0.0034,0.4329,0.1261,7.0,4.0,8.0,-6.0,0.0,-4.0,6.0,23.0
Kentucky,Miami (FL),0.1561,0.1654,-0.056,-6.0,-6.0,18.0,3.0,4.0,-7.0,4.0,22.0
Pittsburgh,Missouri,-0.1096,-0.0836,0.1636,-3.0,-2.0,-6.0,-6.0,-2.0,1.0,-1.0,-7.0
Ole Miss,NC State,0.0886,0.23,0.2667,-4.0,-8.0,1.0,-1.0,5.0,-6.0,7.0,20.0
Alabama,Clemson,-0.19,-0.2095,0.1026,0.0,8.0,0.0,-7.0,3.0,-4.0,-4.0,-8.0
Virginia,Texas A&M,0.1115,0.1861,0.25,-12.0,-11.0,7.0,-1.0,1.0,-6.0,7.0,12.0
North Carolina,Tennessee,-0.0965,0.1071,0.0296,3.0,5.0,6.0,-6.0,1.0,-3.0,-6.0,8.0
Wake Forest,Florida,0.0912,0.0417,-0.0998,1.0,-1.0,1.0,-6.0,-1.0,-2.0,-1.0,11.0
Louisville,Bellarmine,0.0517,-0.0083,-0.2201,5.0,2.0,0.0,-2.0,-6.0,2.0,2.0,5.0
Auburn,Virginia Tech,0.1126,-0.175,-0.0753,-4.0,0.0,5.0,-3.0,6.0,-13.0,5.0,17.0
Arkansas,Duke,0.1324,0.1364,-0.0441,5.0,-7.0,7.0,-3.0,-1.0,4.0,7.0,5.0
Vanderbilt,Boston College,-0.1542,-0.2,0.056,-1.0,5.0,-7.0,-2.0,-1.0,3.0,-3.0,-18.0
Florida St.,Georgia,-0.0563,0.0436,0.1624,4.0,3.0,-1.0,4.0,-2.0,0.0,1.0,-2.0
